type,timestamp_ns,value1,value2,est_x,est_y,est_heading
GYRO,1975000000,-0.068565970,0.000000000,0.185237335,-0.012020206,-0.130495984
WHEEL,2000000000,2.998803655,2.719223475,0.187555002,-0.012324381,-0.132210133
GYRO,2000000000,-0.066392251,0.000000000,0.187555002,-0.012324381,-0.132210133
GYRO,2025000000,-0.066091892,0.000000000,0.189893104,-0.012635315,-0.133869939
WHEEL,2049999999,3.035885617,2.711613792,0.192230686,-0.012950130,-0.135522237
GYRO,2049999999,-0.056581150,0.000000000,0.192230686,-0.012950130,-0.135522237
GYRO,2075000000,-0.073589063,0.000000000,0.194579792,-0.013270450,-0.136936765
GYRO,2100000000,-0.073869017,0.000000000,0.196928441,-0.013594092,-0.138776492
WHEEL,2100000000,3.005953009,2.679437685,0.196928441,-0.013594092,-0.138776492
GYRO,2125000000,-0.043652328,0.000000000,0.199251118,-0.013918510,-0.140623217
GYRO,2150000000,-0.055628148,0.000000000,0.201573191,-0.014247217,-0.141714526
WHEEL,2150000000,2.971628070,2.703806740,0.201573191,-0.014247217,-0.141714526
GYRO,2175000000,-0.049927193,0.000000000,0.203890839,-0.014577878,-0.143105229
WHEEL,2200000000,3.002715076,2.712161793,0.206208025,-0.014911762,-0.144353409
GYRO,2200000000,-0.067409894,0.000000000,0.206208025,-0.014911762,-0.144353409
GYRO,2225000000,-0.077689336,0.000000000,0.208540893,-0.015250878,-0.146038657
WHEEL,2250000000,3.014099626,2.707218468,0.210873186,-0.015593925,-0.147980890
GYRO,2250000000,-0.046948945,0.000000000,0.210873186,-0.015593925,-0.147980890
GYRO,2275000000,-0.076030930,0.000000000,0.213207436,-0.015941893,-0.149154614
WHEEL,2300000000,2.970660642,2.717852589,0.215541276,-0.016292601,-0.151055387
GYRO,2300000000,-0.066660328,0.000000000,0.215541276,-0.016292601,-0.151055387
GYRO,2325000000,-0.053923823,0.000000000,0.217861068,-0.016645708,-0.152721895
WHEEL,2350000000,2.997894857,2.680893071,0.220180268,-0.017002680,-0.154069991
GYRO,2350000000,-0.068034757,0.000000000,0.220180268,-0.017002680,-0.154069991
GYRO,2375000000,-0.043592312,0.000000000,0.222495020,-0.017362163,-0.155770860
GYRO,2400000000,-0.083935367,0.000000000,0.224809158,-0.017725582,-0.156860667
WHEEL,2400000000,2.991704707,2.672025182,0.224809158,-0.017725582,-0.156860667
GYRO,2425000000,-0.049244113,0.000000000,0.227116763,-0.018090553,-0.158959052
GYRO,2450000000,-0.062450264,0.000000000,0.229423597,-0.018460365,-0.160190154
WHEEL,2450000000,2.993118389,2.715015718,0.229423597,-0.018460365,-0.160190154
GYRO,2475000000,-0.065417612,0.000000000,0.231748056,-0.018835938,-0.161751411
WHEEL,2500000000,2.993447496,2.682768039,0.234071926,-0.019215141,-0.163386851
GYRO,2500000000,-0.063217363,0.000000000,0.234071926,-0.019215141,-0.163386851
GYRO,2525000000,-0.064070144,0.000000000,0.236382182,-0.019596001,-0.164967285
GYRO,2550000000,-0.067886552,0.000000000,0.238691833,-0.019980512,-0.166569039
WHEEL,2550000000,2.994836305,2.709219111,0.238691833,-0.019980512,-0.166569039
GYRO,2575000000,-0.062063500,0.000000000,0.241012190,-0.020370627,-0.168266203
GYRO,2600000000,-0.069517333,0.000000000,0.243331881,-0.020764678,-0.169817790
WHEEL,2600000000,2.973012201,2.679618544,0.243331881,-0.020764678,-0.169817790
GYRO,2625000000,-0.070825244,0.000000000,0.245630051,-0.021158744,-0.171555724
GYRO,2650000000,-0.083384003,0.000000000,0.247927533,-0.021556803,-0.173326355
WHEEL,2650000000,3.002540245,2.675011126,0.247927533,-0.021556803,-0.173326355
GYRO,2675000000,-0.064513233,0.000000000,0.250234432,-0.021960702,-0.175410955
GYRO,2700000000,-0.068804601,0.000000000,0.252540483,-0.022369409,-0.177023786
WHEEL,2700000000,3.038902313,2.696933272,0.252540483,-0.022369409,-0.177023786
GYRO,2725000000,-0.053785650,0.000000000,0.254869540,-0.022786069,-0.178743901
GYRO,2750000000,-0.080378005,0.000000000,0.257197876,-0.023206734,-0.180088542
WHEEL,2750000000,2.981860256,2.683652917,0.257197876,-0.023206734,-0.180088542
GYRO,2775000000,-0.045239005,0.000000000,0.259497105,-0.023625334,-0.182097992
GYRO,2800000000,-0.075106490,0.000000000,0.261795489,-0.024048554,-0.183228967
WHEEL,2800000000,2.990337546,2.688603433,0.261795489,-0.024048554,-0.183228967
GYRO,2825000000,-0.053603876,0.000000000,0.264098839,-0.024475381,-0.185106629
WHEEL,2850000000,2.958168007,2.725274811,0.266401383,-0.024906533,-0.186446726
GYRO,2850000000,-0.052274757,0.000000000,0.266401383,-0.024906533,-0.186446726
GYRO,2875000000,-0.060943361,0.000000000,0.268705172,-0.025341115,-0.187753595
WHEEL,2900000000,2.999690334,2.699452473,0.271008392,-0.025778706,-0.189277179
GYRO,2900000000,-0.069195590,0.000000000,0.271008392,-0.025778706,-0.189277179
GYRO,2925000000,-0.071721148,0.000000000,0.273317302,-0.026221025,-0.191007069
GYRO,2950000000,-0.066575574,0.000000000,0.275625444,-0.026667338,-0.192800098
WHEEL,2950000000,3.016357470,2.678907910,0.275625444,-0.026667338,-0.192800098
GYRO,2975000000,-0.064655431,0.000000000,0.277931212,-0.027117481,-0.194464487
GYRO,3000000000,-0.058555214,0.000000000,0.280236228,-0.027571462,-0.196080873
WHEEL,3000000000,2.984833458,2.709148313,0.280236228,-0.027571462,-0.196080873
